spanish,english,domain,collocations
la posproducción,the post-production,media,finalizar la posproducción; supervisar la posproducción; iniciar la posproducción; financiar la posproducción
el tráiler,the trailer,media,estrenar el tráiler; montar el tráiler; difundir el tráiler; analizar el tráiler
el editorial,the editorial,media,escribir el editorial; difundir el editorial; firmar el editorial; discutir el editorial
la distribución,the distribution,media,gestionar la distribución; mejorar la distribución; asegurar la distribución; ampliar la distribución
el copyright,the copyright,media,gestionar el copyright; registrar el copyright; vulnerar el copyright; proteger el copyright
la métrica,the metric,media,analizar la métrica; evaluar la métrica; interpretar la métrica; mejorar la métrica
la viralidad,the virality,media,fomentar la viralidad; analizar la viralidad; alcanzar la viralidad; medir la viralidad
la mención,the mention,media,realizar una mención; evitar la mención; agradecer la mención; analizar la mención
la interactividad,the interactivity,media,fomentar la interactividad; mejorar la interactividad; evaluar la interactividad; limitar la interactividad
el periodista,the journalist,media,contratar al periodista; acreditar al periodista; formar al periodista; despedir al periodista
el patrocinador,the sponsor,media,buscar al patrocinador; negociar con el patrocinador; perder al patrocinador; convencer al patrocinador
el guionista,the screenwriter,media,contratar al guionista; pagar al guionista; premiar al guionista; exigir al guionista
el documental,the documentary,media,rodar el documental; financiar el documental; proyectar el documental; editar el documental
la tirada,the print run,media,aumentar la tirada; reducir la tirada; agotar la tirada; imprimir la tirada
la edición,the edition,media,preparar la edición; revisar la edición; lanzar la edición; cancelar la edición
el arquetipo,archetype,media,reforzar el arquetipo; subvertir el arquetipo; encarnar el arquetipo; el arquetipo narrativo
la convergencia,convergence,media,la convergencia digital; promover la convergencia; la convergencia de medios; el proceso de convergencia
la disrupción,disruption,media,causar una disrupción; la disrupción tecnológica; la disrupción del mercado; liderar la disrupción
la narrativa,narrative,media,construir la narrativa; la narrativa transmedia; la narrativa audiovisual; desarrollar la narrativa
la hegemonía,hegemony,media,cuestionar la hegemonía; la hegemonía cultural; mantener la hegemonía; romper la hegemonía
el target,target audience,media,definir el target; el target demográfico; segmentar el target; alcanzar el target
el engagement,engagement,media,medir el engagement; fomentar el engagement; el alto engagement; la métrica de engagement
el streaming,streaming,media,la plataforma de streaming; el servicio de streaming; la emisión en streaming; consumir streaming
el suscriptor,subscriber,media,captar al suscriptor; la base de suscriptores; el suscriptor premium; fidelizar al suscriptor
la primicia,scoop,media,dar la primicia; la búsqueda de la primicia; la veracidad de la primicia; la primicia informativa
la tertulia,talk show/discussion,media,la tertulia política; participar en la tertulia; el formato de tertulia; la tertulia radiofónica
el lector,reader,media,el perfil del lector; la fidelización del lector; el lector habitual; la comunidad de lectores
el inquilino moroso,delinquent tenant,housing,desalojar al inquilino moroso; denunciar al inquilino moroso; perfil de inquilino moroso
la cédula de habitabilidad,occupancy certificate,housing,obtener la cédula de habitabilidad; renovar la cédula; carencia de cédula
la derrama,extraordinary fee,housing,aprobar una derrama; pagar la derrama; derrama extraordinaria; derrama urgente
la plaza de garaje,parking space,housing,alquilar plaza de garaje; plaza de garaje privada; vender plaza de garaje
la comunidad de propietarios,homeowners association,housing,reunión de la comunidad; estatutos de la comunidad; cuota de la comunidad
el acta de la reunión,meeting minutes,housing,leer el acta; aprobar el acta; firmar el acta; impugnar el acta
la junta de vecinos,neighbors meeting,housing,convocar la junta; asistir a la junta; acuerdos de la junta
la normativa comunitaria,building regulations,housing,incumplir la normativa; adaptarse a la normativa; vigencia de la normativa
el administrador de fincas,property manager,housing,gestión del administrador; designar al administrador; queja al administrador
la derrama extraordinaria,extraordinary assessment,housing,liquidar la derrama; imponer una derrama; derrama por reforma
la zona común,common area,housing,mantenimiento de zonas comunes; uso de zonas comunes; limpieza de zonas comunes
la humedad por condensación,condensation damp,housing,tratar la humedad; detectar la humedad; problemas de humedad
la filtración de agua,water leak,housing,reparar la filtración; origen de la filtración; daños por filtración
el puente térmico,thermal bridge,housing,eliminar el puente térmico; aislar el puente térmico; efectos del puente térmico
la reforma integral,full renovation,housing,presupuesto de reforma; licencia de reforma; ejecutar la reforma
el aislamiento acústico,sound insulation,housing,instalar aislamiento; mejorar el aislamiento; deficiencia de aislamiento
la certificación energética,energy certificate,housing,emitir la certificación; registrar la certificación; obligatoriedad de la certificación
el suministro eléctrico,power supply,housing,dar de alta el suministro; corte de suministro; rehabilitar el suministro
el boletín eléctrico,electrical certificate,housing,presentar el boletín; renovar el boletín; validez del boletín
la potencia contratada,contracted power,housing,aumentar la potencia; ajustar la potencia; exceso de potencia
el contador inteligente,smart meter,housing,lectura del contador; avería del contador; sustitución del contador
la factura de luz,electricity bill,housing,abonar la factura; reclamar la factura; impago de la factura
la compañía suministradora,utility company,housing,cambiar de compañía; contratar con la compañía; reclamación a la compañía
la revisión de la caldera,boiler inspection,housing,pasar la revisión; certificado de revisión; calendario de revisión
el mantenimiento preventivo,preventive maintenance,housing,plan de mantenimiento; coste de mantenimiento; contrato de mantenimiento
el embornal,drainage inlet,housing,limpiar el embornal; obstrucción del embornal; rejilla del embornal
la arqueta,manhole,housing,inspeccionar la arqueta; atasco en la arqueta; limpieza de arquetas
la cornisa,cornice,housing,reparar la cornisa; desprendimiento de cornisa; revisión de la cornisa
la grieta,crack,housing,tapar la grieta; reparar la grieta; grieta estructural; fisura en la pared
la fisura,fissure,housing,observar la fisura; rellenar la fisura; fisura en el techo
el moho,mold,housing,eliminar el moho; aparición de moho; tratar el moho
el extractor de humos,range hood,housing,limpiar el extractor; avería del extractor; instalar extractor
el detector de humos,smoke detector,housing,instalar detector; fallo del detector; batería del detector
la cerradura de seguridad,security lock,housing,cambiar la cerradura; forzar la cerradura; instalar cerradura
el interruptor diferencial,residual current device,housing,saltar el diferencial; reponer el diferencial; fallo del diferencial
el termo eléctrico,electric water heater,housing,instalar termo; avería del termo; limpieza del termo
la placa de inducción,induction hob,housing,instalar placa; avería en la placa; limpieza de la placa
el horno empotrable,built-in oven,housing,instalar horno; avería del horno; limpieza del horno
la grifería,faucets,housing,cambiar la grifería; avería en la grifería; limpiar la grifería
el videoportero,video intercom,housing,instalar videoportero; avería del videoportero; reparar videoportero
la antena comunitaria,communal antenna,housing,ajustar la antena; reparar la antena; señal de antena
el repetidor de señal,signal booster,housing,instalar repetidor; configurar el repetidor; fallo del repetidor
el portero automático,intercom,housing,reparar portero; avería en el portero; instalar portero
la puerta blindada,reinforced door,housing,instalar puerta; reparar puerta; cerradura de puerta blindada
el contador de agua,water meter,housing,lectura del contador; avería en el contador; cambio de contador
la tasa de basuras,garbage tax,housing,abonar la tasa; exención de la tasa; reclamar la tasa
el contrato de alquiler,lease agreement,housing,firmar el contrato; rescindir el contrato; prorrogar el contrato
el anexo al contrato,contract annex,housing,firmar el anexo; añadir el anexo; validez del anexo
